term,definition
fringe,"[n] 1. 술, 술장식 2. 언저리, 주변 (border) 3. 초보, 피상적지식; 2차적인 것, 부차적 부분; 주변 4. 비주류, 과격파 fringe group
[a] 부수적인; 2차적인"
frustrating,실망시키는
fungible,대체 가능한
furtive,은밀한 secretive
fustian,"과장되고 허풍떠는
pompous, bombastic"
futile,쓸데없는 useless
gadget,"(작고 유용한) 도구[장치] ; 기계, 부속품"
gainsay,"반박하다, 부인하다, 반대하다 deny, contradict, oppose"
galling,"화나게 하는, 짜증나게 하는
[v] gall 화나게 하다"
galvanize,"자극하다, 생기있게 하다 animate, spur"
garble,"왜곡하다, 혼동하다, 섞이다"
garner,"얻다; 모으다 earn;collect 
- Durham had garnered three times as many votes as Carey. ;; from granum grain"
garrulous,지나치게 수다스러운 loquacious
gauge,"척도; 치수/ 측정하다, 나타내다; gage 게이지. 재다."
generic,"일반적인, 포괄적인 inclusive, general"
geniality,"친절, 온정"
genteel,"품위 있는, 우아한, 상류층의, 점잖빼는"
germane,"관련있는, 적절한"
give way to,양보하다
glean,모으다 collect
gossamer,"매우얇은, 섬세한"
grandstanding,"(사업, 정치등에서) 사람의 눈길을 끌려는 행위 
<[v] grandstand : (관객, 미디어로부터) 주목받으려하다, (관객을의식하여) 화려한 플레이를 하다"
graphically,생생하게 vividly
grateful,"감사하는, 고마운"
gratify,만족시키다 please
gravitas,"진지함, 무게
dignity, dobriety"
gregarious,사교적인
gridlock,"교통 정체; 정체, 교착상태"
gripping,"주의를 끄는, 흥미로운, 재미있는"
guarantee,"보장하다, 보증"
guzzle,마구 마시다; 마구 먹어 대다
hackneyed,진부한
haggle about,"사소한 것으로 시비걸다
cavil, quibble"
hailed,환호대상이 되는 acclaimed
halfhearted,"열성이 없는, 내키지 않는
apathetic, impassive, lackluster"
hamper,"막다, 방해하다 impede"
hamstring,"다리를 절게하다; 무력화하다, 좌절시키다; 방해하다 impair"
haphazard,"아무렇게나, 되는대로 random"
harbinger,"예언자, 전조 
herald, omen, augury, presage, precursor, forerunner"
harbor,"피난처를 제공하다, 숨겨주다"
harbor,"conceal, maintain, entertain"
hard-pressed,"압박당한, 시달리는"
hardy,"강건한, 용감한"
haughty,거만한
headway,"전진, 진행; 진보"
heartless,무정한 callous
hectic,"정신없이 바쁜, 빡빡한; 그래서 헥헥 대는 hectic"
hegemony,(힘의) 주도권
hermetic,"밀봉, 밀폐된, 난해한"
heterogeneous,"1. 이종의 disparate
2. 다른 dissimilar"
hew to,"...을 따르다, 준수[신봉]하다"
hierarchical,계급[계층]에 따른 stratified(층의)
high-handed,"독단적인, 고압적인"
hinder,방해하다
historic,"역사적으로 중요한, 역사에 남을 만한, 역사적인"
historical,"역사적, 역사상의"
hitch,"문제, 장애, 어려움, 난제, 
snag(문제, 곤란한일)"
hodgepodge,"뒤범벅, 잡탕, 다양함 patchwork"
homogeneity,"동종, 균질, 동질"
homogeneous,"동종의, 균질의, 비슷한"
hone,"연마하다, 갈고 닦다"
honorific,존경하는
hortatory,"충고의, 권고적인; 장려[격려]의"
hostility,적대감
hubris,"지나친 자신감, 오만함 excessive pride"
humble,"겸손한, 초라한, 소박한"
humdrum,"단조로운, 재미없는"
hypocrisy,위선
hypothesis,"가설, 가정, 추측"
iconoclastic,"성상파괴(자)의, 인습타파의"
idiosyncratic,"특이한, 독특한"
ignore,무시하다 overlook
illegitimate,위법의
immense,"엄청난, 어마어마한"
immobilize,"(정상적으로) 움직이지[걷지] 못하게 하다, 고정시키다
- a device to immobilize the car engine in case of theft"
impassionate,"열띤, 인상적인, 정렬적인"
impassive,"감정이 없는, 태연한"
impeccable,"결함없는, 완벽한"
impediment,장애물
impenetrable,"통과할 수 없는, 스며들 수 없는, 이해할 수 없는"
imperial,"황제의, 제국주의의, 제국의"
imperil,위험에 빠뜨리다
imperious,독재의 dictatorial
impermeable,"불침투성의, 뚫을 수 없는"
impertinence,"건방짐, 뻔뻔함, 주제넘게 굴기, 무례, 버릇없음disrespectful"
imperturbability,"냉정, 침착"
imperturbable,"차분한, 동요하지 않는"
impervious,"1. 불침투성의 not allowing fluid to pass through
2. 영향받지않는, 해를입지않는"
impetuous,"충동적인, 성급한"
implacable,"1. (강하게 부정적인 의견이나 감정이) 확고한, 바꿀 수 없는 
-implacable hatred (결코 누그러지지 않을 증오)
2. 완강히 반대하는"
implausible,"믿기 어려운, 타당해 보이지 않는"
imprecise,"부정확한, 애매한, 모호한 not precise"
improbable,불가능한 unlikely
impugn,"의심하다, 이의를 제기하다, 비난하다, 공격하다
challenge, question, dispute, query"
impulsive,"충동적인, 성급한"
in retrospect,"돌이켜 생각해 보면, 회고하면"
inchoate,"초기단계의, 발전하지 않은 rudimentary"
incipient,"시작단계의, 초기의, 발단의"
incisive,"예리한, 날카로운, 통렬한"
incongruous,"조화롭지 않은, 일치하지 않는"
inconsequential,사소한 trivial
inconsequentially,"하찮게, 사소하게; 이치에 맞지 않게, 엉뚱하게"
incorruptibility,"청렴결백, 오염되지 않음"
incremental,"증가의, 증대하는"
incriminate,"죄를 씌우다, 고소하다"
indefatigable,지치지 않는 tireless
indifferent,무관심한
indigenous,"고유의, 원산인, 토종인"
indigent,"궁핍한, (생필품) 결핍된"
indirect,간접적인 circuitous
indispensable,필수불가결의
indolence,게으름
indubitable,"의심할 여지 없는, 확실[명백]한"
inductive,"귀납의, 귀납적인; 유도의, 유도적인"
indulge,"1. 탐닉하다 
- They went into town to indulge in some serious shopping. 
2. 관대히 하다, ~가 제멋대로 하게 하다 coddle, mollycoddle"
industrious,"근면한, 부지런한"
inept,서투른 clumsy
ineptitude,"부조리, 어리석음; 어리석은 짓"
inert,"움직이지 않는, 활력없는"
inertial,"활발하지 못한; 타력; 관성의 
lack of movement"
inexplicable,"설명될 수 없는, 난해한 incomprehensible"
infatuate,"얼빠지게 만들다 
>infatuated (사랑하는 人에게) 미쳐있는, 푹빠진"
infeasible,실행불가능한
infelicitous,"1. 불행한, 불운한; 2. 부적절한 ; felicity 안성맞춤, 적합한, 행복한"
inferable,"추론할 수 있는 
entailed"
inflammatory,"선동적인, 강한 분노를 유발하는 causing anger"
ingenious,"독창적인, 기발한"
ingenuous,"순진한, 솔직한"
ingrained,"(기질, 습관) 뿌리깊은, 깊이박힌"
inherent,"내재적인, 본질적인, 타고난"
inhibit,"억제(저해)하다; (불안하거나 당황해서) ~못하게 하다 
hold back, restrain"
inimical,"해로운, 적대적인"
injudicious,지혜롭지 못한; (상황에) 부적절한 not sensible
innocuous,무해한 causing no injury
insatiable,"(식욕, 욕망) 만족시킬 수 없는"
inscrutable,"불가사의한, 난해한"
insipid,"재미없는, 지루한; 맛없는"
insist,주장하다
insolent*,"무례한, 불손한, 건방진"
insouciance*,"무관심; 태평, 걱정 없음
[a] insouciant 태평한, 근심없는; 무관심한 (-) ; not solicit"
instigate,"부추기다, 선동하다"
insular**,"1.섬의, 2.배타적인, 편협한* narrow-minded, parochial (교구의; 편협한)"
insulate,"1. 절연[단열, 방음]하다
2. 분리[격리]하다; 고립시키다 
- insulate a patient :환자 격리하다"
intangible*,"1. 무형의, 만질 수 없는; 2.모호한, 애매한* 
<>tangible 1.만질수있는 2.obvious"
integrity*,"1.정직, 청렴, 2.흠없는 상태, 온전함, 보전"
intelligible,"(쉽게) 이해할 수 있는 able to be understood
=readable"
intensify,"심화시키다, 강화시키다"
interchangeable,"교체할 수 있는, 호환성 있는"
interminable,끝없는
intervene,"개입하다, 끼어들다, 사이에 있다"
intractability,"다루기 어려움, 고집스러움"
intransigent,"비타협적인, 완고한 
intransigence [n]"
intricate,"복잡한, 얽힌 convoluted"
intriguing,"호기심을 자아내는, 재미를 자아내는, 매력적인"
intrinsically,본질적으로
intuitive,직관적인 spontaneous
inveigle,"교묘하게 속이다, 유인하다, 감언이설로 구슬리다 
allure, beguile, seduce, tempt, hoodwink; in 안 vei view 안 보이게 하다, 즉 사실을 감추고 교묘하게 속여서 유혹하다"
inversely,반대로
inveterate,"뿌리 깊은, 상습적인, 만성의"
invidious,"비위에 거슬리는, 불쾌한; 질투심[원한]을 일으키는. likely to cause bad feelings in other people"
invigorate,"기운나게하다, 격려하다 energize"
invulnerable,"상처입힐수없는, 해칠수없는, 안전한; 무적의, 강한"
irascibility,"성 잘 내는 기질, 성미 급함, 성마름
exasperation (격분,분노)"
irascible,"성미 급한, 화를 잘내는 
irritable"
irk,"짜증나게 하다, 화나게 하다"
irresolute,"결단력 없는, 우유부단한"
itinerant,떠돌아다니는[순회하는] traveling from place to place
jargon,전문어
jarring,"n. 삐걱거림, 진동; 부조화, 알력, 충돌
a. 삐걱거리는, 거슬리는; 조화되지 않은; 알력의 
to have a harsh or unpleasant effect on someone or something"
jaundice,"1. 편파적으로 대하다, 불리하게 처리하다 
2. 편견*, 시기, 질투 
[a] jaundiced 편파적인*= biased; 황달에 걸린, 색칠된, 편향적인, 편파적인, 편견, 시기, 질투"
jejune,"단순한, 무미건조한, 재미없는; 진부한 dry and uninteresting, arid"
jettison,"1. 내던지다, 투하하다, 투척하다 
2. 버리다 / abandon / discard"
jibe with,일치하다 agree ; 자이브 추듯이 동작이 서로 일치하다
judicious,현명한
juxtaposition,"병렬, 병치"
keep ~ at bay,"을 가까이 못 오게 하다, 저지하다 
- Keep him at bay if he comes too near to you. ;; 항만에 위치시켜, 내륙으로 못오게 keep them at bay."
kindred,"1. [a]유사한, 2. [n] 일가친척"
knotty,"매듭으로 가득한; 복잡한, 풀기 어려운"
labyrinth,미로
laconic,"간결한, 과묵한* taciturn, reticent"
laissez-faire,자유방임주의; let do
lambaste,"심하게 비난하다; lamb 양을 baste 호되게 때리다, 야단치다. 즉 심하게 비난하다"
lament,"한탄하다, 슬퍼하다, 애통해하다"
lampoon,풍자하다; 풍자
languish,"기력을 잃다, 쇠약해지다"
largesse,후함 generosity
lascivious,음탕한
lassitude,"무기력, 무관심 listlessness, languor"
laud,"칭찬하다, 찬양하다 extol
laudable [adj]"
leeway,"자유(재량) ; 여지, 여유"
legitimacy,"합법성, 적법; 합리[타당]성"
legitimatize,"legitimate 합법으로 인정하다, 합법[정당]화하다"
lenient,"(처벌, 규칙 적용이) 관대한"
lethargic,"무기력한, 활발하지 못한; 둔감한
[n] lethargy 무기력"
leveling,"평평하게 함, 땅을 고름; 평등화"
levy,"n.(특히 세금의) 추가 부담금 
v.(세금 등을) 부과[징수]하다, 과세하다; lever 압력을 가하는 수단. 세금이라는 내기 싫은 것을 압박."
limpid,"(액체) 깨끗한, 맑은; 명료한"
list,"기울다, 비스듬해지다;기울이다 =tilt"
listless,"힘[열의]이 없는, 무기력한"
livid,"납빛의, 흙빛의; (멍같이) 검푸른
gloomy, colorless(무색의, 몹시창백한)"
loathe,혐오하다
lopsided,"한쪽으로 기울어진; 불균형의; 일방적인 (lop 는 잘라낸, 즉 한쪽을 잘라낸)"
loquacious,(매우) 수다스런
lucidity,"맑음, 투명; 명료, 명석//
[a] lucid 맑고 투명한; 명백하여 이해하기 쉬운; 제정신의"
lucrative,"수지 맞는, 돈벌이가 되는"
ludicrous,"웃기는, 터무니 없는"
lugubrious,"침울한, 슬픈 =gloomy"
lull,"1. 일시적 잠잠함, 소강상태 =respite (일시적중단) 
2. 달래다, 어르다, 재우다"
lurch,(갑자기) 휘청하다(휘청거리다)
lure,"꾀다, 유혹하다"
lurid,"(색깔) 매우 밝은, 선정적인; 충격적인, 끔찍한, 섬뜩한"
macabre,"으스스한, 소름끼치는"
magnanimity,"(특히 적이나 경쟁자에게) 도량이 넓음, 관대함"
mainstay,"중심, 대들보, 기둥, 중심축
backbone, anchor, buttress"
maintain,유지하다[지키다]
make known,"알리다, 발표하다; [남]을 (...에게) 소개하다[to]
- They made his legacy known.(그의 유산을 알렸다)"
maladroit,"솜씨 없는, 서투른"
malady,"질병, 병폐, 심각한 문제"
malfeasance,(특히 공무원의) 불법(부정) 행위
malign,(악의적으로) 비난하다; 해로운
malleable,"(금속) 변형이 잘 되는; (사람들, 사상 등이) 영향을 잘 받는, 잘 변하는"
malodorous,악취가 나는
maneuver,"책략 , 술책, 공작, 책동, 교묘한 조작[조치]
교묘히 다루다; 일을 꾸미다 scheme"
manifestation,"명시, 표명//
manifest [a] 뚜렷한, 명백한; 명시하다"
manipulation,"교묘한 처리, 솜씨 있는 취급[조종]; 조작, 조종 
manipulate [v]조종하다; 교묘하게 다루다, 조작하다"
mannered,"억지로 꾸민, 부자연스러운"
marginal,"사소한, 중요하지 않은; 가까스로 수지가 맞는, 한계 수익점의"
maturity,"성숙함, 원숙함
=precociousness(조숙)"
maverick,독불장군 =nonconformist
meager,"부족한, 빈약한"
meddlesome,"오지랖 넓은, 간섭[참견]하기 좋아하는=interfering, officious(참견하기좋아하는,주제넘게나서는) // 
meddle [v] 참견하다"
melancholy,우울감[비애]
meliorate,"개량하다, 개선하다"
mendacious,거짓말하는
mercenary,용병; 돈 버는 데만 관심이 있는; 욕심많은
meretricious,"겉치레뿐인, 겉만 번지르르한"
meticulous,"매우 꼼꼼한, 주의깊은, 세심한, 정확한 
fastidious; painstaking(공들인)"
minimal,"아주 적은, 최소의"
minion,"(권력자의) 앞잡이, 추종자, 가신, (노예 같은) 하인."
miniscule,=minuscule 극소의
misconstrue,오해하다
misgiving,"의혹; 불안감 
doubt, qualm(거리낌,꺼림칙함)"
misguided,잘못 이해한[판단한]
mishandled,"<mishandle: 잘못처리하다, 관리하다; 거칠게, 서투르게, 조심성없게 다루다 ; 학대하다"
mitigate,완화시키다
mock,놀리다[조롱하다]
modern,"현대의,근대의; 최신의; 선구적인, 새로운 
=advanced(선진의; 고급의)"
modest,"1. 겸손한,조심성있는; 정숙한, 고상한 2.적당한, 온당한, 삼가는(moderate) 3.많지않은, 소규모의 -modest income"
mollified,"화가 누그러진, 감정이 진정된//
mollify [v]달래다, 진정시키다"
monolithic,"거대한, 강한; 균일한; 획기적인"
monotonous,(지루할 정도로) 단조로운[변함없는]
moribund,"소멸, 절멸 직전의, 다죽어가는"
morose,시무룩하고 언짢은
morph,"변하다, 바뀌다; 바꾸다 =transform"
muffle,"소리를 죽이다 (약하게 하다); (따뜻하게 하기 위해) 감싸다(덮다) 
*muffled로 출제"
multidimensional,다차원의;다양한
multifaceted,"다면적인
ambidextrous, elastic, facile, many-sided, plastic"
mundane,"평범한, 흔한, 재미없는, 일상적인; 세속적인"
murky,"어둑어둑한, 안개가 자욱한, 모호한, 애매한"
mutable,"1.변하기 쉬운.
2.끊임없이 변하는; 변덕스러운."
naive,"순진한, 순박한, 경험이 없는=innocent
immature, callow, green, gullible, artless, ingenuous"
naivete,"천진 난만함, 순진, 소박; 고지식함; 
(with naiveté 천진스레)"
native,"1.출생지의,본래의 2. 타고난, 선천적인 3.토착의, 토착민의 4.꾸밈없는,자연스런, 소박한 ..."
naysay,"거절(하다), 부인(하다) =oppose, reject"
nefarious,"사악한, 범법의 wicked"
negligence,"부주의, 태만; 과실"
neophyte,"초보자, 초심자; 개종자"
nepotistic,"족벌주의의 
*nepotism 친족등용, 족벌주의 (공정 X) favoritism
(참고 cronyism 친구위주의 등용(편애))"
nitpicking,"트집잡기; 트집잡는 
cavil, quibble"
nobility,"(the-) 귀족/ 고귀함, 고결함"
noisome,"(-)불쾌한, 해로운/ 악취가나는 fetid"
nonconformist,"불순응[불순종]주의자, 관행[규범]을 따르지 않는 사람
<conformity 순응, 일치"
nondescript,"뚜렷한 특징이 없는, 평범한"
not fail to~V,"반드시-하다, 어김없이 -하다 
- She cannot fail to finish her work on time."
notwithstanding,...에도 불구하고
novel,"새로운, 신기한 
=original(독창적인)"
novelty,"새로움, 참신함, 신기함"
novice,초보자 =beginner
nurture,"양육하다, 돌보다"
obedience,"복종, 순종"
obeisance,"(존경의 표시로하는) 절, 존경, 순종
[a] obeisant 정중한, 고분고분한"
obligate,"1.* [보통 수동형으로] (법률·도덕상의) 의무를 지우다; 강요하다 -Parents are obligate[/hw]d to support their children.
2. [보통 수동형으로] 감사하는 마음이 우러나게 하다
- You must feel obligate[/hw]d to him for his help
3.[a]불가피한, 부득이한; (도덕상·법률상) 의무적인; 필수의"
obscuring,"이해하기 힘든, 모호한 // 
[v] *obscure 1.불명확하게하다, 2. 불명확한, 유명하지 않은 <> 뚜렷한"
observant,"(+) 예민한, 기민한, 관찰력 있는"
obsolete,"구식의, 못쓰게 된"
obstreperous,"통제가 안되는, 시끄러운, 떠들석한, 길이길이 날뛰는"
obtuse,"둔한, 이해가 매우 느린; 뭉퉁한, 둔한 blunt"
occlude,"닫다, (통로, 틈새 등) 막다, (빛을) 보이지않게차단하다"
ominous,불길한
omnipresent,"편재하는, 어디에나 있는"
omniscient,"전지의, 박식한"
on a par with~,~와 동등한[같은]
onset,"(특히, 불쾌한일의) 시작
** the onset of (disease (-))"
opaque,"불투명한, 불분명한, 이해하기 힘든 <> 투명한 lucid"
opportunism,"기회주의//
[a] opportunistic (-) 기회주의적인 
참고) -istic 너무~한=> moralistic (-) 도덕주의자처럼 구는"
oppositional,"반대하는, 저항하는, 대립하는."
opprobrious,"모욕적인, 창피한"
original,"1. 최초의, 원시의; 본래의; 초기의.
2. 창의적인; 새로운, 참신한, 신기한, 기발한"
ornate,(특히 아주 작거나 복잡한 디자인으로) 화려하게 장식된
orthodox,"정설, 정교의
authentic, canonical
<> heterodox, heretical, apcryphal"
oust,"(지위, 장소에서) 내쫓다, 추출하다(우두머리를 내쫓다)
cf. expel 퇴학시키다"
outdated,"구식의out-of-date, old-fashioned"
outlandish,"별난, 기이한, 희한한; 이국적인"
outmoded,"구식의 out-of-date, old-fashioned"
outstanding,"1. 뛰어난, 걸출한 2. 두드러진;중요한"
overhaul,"1.정밀검점하다, to renovate
2. (경주에서 남을) 앞지르다, to catch up with"
overload,"1.과적하다,짐을너무많이싣다 2.너무많이부과하다,주다 3.[n]지나치게많음, 과부하"
overlooked,"<overlook 못보고넘어가다, 간과하다"
overmodest,"지나치게 수줍은,얌전한"
overrate,과대평가하다
overstate,과장하다
overtly,"명백히, 공공연하게//
[a] overt 공공연한, 명백한, 숨길수 없는<> covert"
overwrought,"잔뜩 긴장한, 몹시 걱정하는"
pacific,평화로운=peaceful=placid=dovish*
palatable,"1. 맛있는, 2. 마음에 드는, 구미에 맞는*
<>unpalatable 맛없는, 무미건조한"
palliate,(병을 치료하지않고) 증상만 완화시키다
panacea,만병통치약 (비유적으로 사용!)=cure-all
panache,"당당한태도, 품격, 기백/ 과시(-)
n. 깃털모자"
panegyrize,"찬사를 보내다; 칭찬하다//
*panegyric 칭송, 찬양
**""p""로 시작하는 찬사/칭찬 : paean/ plaudit/ panegyric"
paraphernalia,"(특히 특정한 활동에 필요한) 용품
-skiing paraphernalia (스키용품)"
parochial,"제한된, 편협한; 지방의 provincial"
patchwork,"쪽매붙임; 긁어 모은 것, 잡동사니 hodgepodge"
pauper,"빈곤자, 빈민"
pedagogy,"교육학, 교수법; 교육, 교수, 교직"
pellucid,"깨끗한[맑은], 투명한"
pensive,"깊은 생각에 잠긴, 명상에 잠긴, 수심에 잠긴."
perennial,"지속적인, ""영원한"", 
permanent, perpetual <>순간적인"
permeable,"침투할[스며들] 수 있는, 투과성[투기성]의"
perpetrate,"범하다, 저지르다 ((-) do) =commit
perpetrator 범인, 가해자, 죄인"
perplexity,"당황, 곤혹, 난처, 혼란"
persevere,"인내하다, 견디다"
persistent,"1.끈질긴, 집요한, 고집센 tenacious, pertinacious 2. 지속하는 =survival"
personification,의인화; 의인화된 것
pervasive,"퍼지는, 보급되는; 스며들어가는"
pigeonhole,"1. 정리하다, 분류하다 2. -을 뒤로미루다, 보류해두다, 묵살하다 defer 3. [n]서랍, 정리함; 분류, 처리"
pilferage,"좀도둑질; 훔친 물건, 장물
<[v] pilfer 훔치다 filch, purlion, plunder"
pine (for),"~을 그리워하다, 애타게 그리다, 갈망하다"
pinpoint,"정확히짚다, 정밀조준 -"
pioneering,개척[선구]적인
placable,"달래기 쉬운; 온화한, 너그러운, 관대한
<[v] placate 달래다 cf) plac, pac = 'peace'"
placate,"달래다 =appease
cf) plac, pac = 'peace'"
plastic,"형태를 만들[바꾸]기가 쉬운, 가소성이 좋은"
platitudinous,"진부한 
hackneyed, banal, trite, cliched"
plausible,"타당한 것 같은, 이치에 맞는, 그럴듯한"
pliable,"모양이 잘휘는; *고분고분한 
compliable, compliant, pliant <>고집센"
ploy,"계책, 술책"
plunder,"약탈하다, 훔치다 pilfer, filch, purloin"
polarizing,"양극화 
<polarize* 양극화하다, 분열시키다."
polemical,논쟁적인 =quarrelsome
polymathic,"대학자의 , 박식가의. =encyclopedic
**[n] polymath 박식한 사람"
pomposity,"화려함; 젠체함, 거만함
(pomp 허세)"
ponder,심사숙고하다
potent,"강력한, 유력한, 힘센."
pragmatic,실용적인
praiseworthy,칭찬할 만한
preachy,"(-) 설교하기 좋아하는; 설교조의, 설교하려드는 
=sanctimonious (-)독실한(신성한)체하는"
precarious,"위태로운, 불확실한 
uncertain, insecure"
predator,포식자; 약탈자
predecessor,"선구자, 선행하는것 precursor"
predicament,"곤경, 궁지"
predilection,"매우 좋아함; 편애, 기호, 두둔 strong liking 
=proclivity(경향, 기질, 성질)"
prepossessing,"*매력있는, 호감가게 생긴, 잘생긴 
prepossess 호감을 갖게 하다 
unprepossessing 호감갖지않는"
presage,(보통 불길한 일의) 전조가 되다
prescient,"선견지명[예지력]이 있는 
=prophetic"
preserving,"보존, 저장, 유지, 보호(하는) =safeguarding
cf) preservative 방부제"
presuppose,"예상하다; 미리 상상하다, 추측하다"
pretext (for),"구실, 핑계, 명분 
- find a pretext for refusing the invitation"
prevailing,"우세한, 지배적인, 유행하는 
current, prevalent"
prevented,"예방된, 방지된 =precluded"
private,"사적인; 비밀의, 은밀한; 은둔하는, 남의눈에 띄지않는=insular(배타적인,편협한)"
privation,"궁핍, 
-He died of privation."
proclaim,선언[선포]하다
proclivity,"경향, 성향 (""like"" 계열)
propensity, penchant, inclination"
procreate,아이[새끼]를 낳다; 출산하다
prodigious,"거대한, 규모가 큰; 놀라운, 대단한"
profit-mongers,"A person, business or profession marked by avarice and greed
<monger : 상인, 장수"
prolifiration,"급증, 확산"
prolong,"연장시키다, 연장하다"
prophetic,"예언의, 예언적인"
prophylactic,"(질병) 예방의, 예방을 위한 =preventive"
propitious,"길조의 ('pro'- like) 
auspicious
<> portentous 불길한 전조의"
proportionate,"비례하는, 균형에 맞는 
commensurable, commensurate, comparable"
proprietary,"1. 소유주의, 소유의, 2. 재산이있는 3.독점의;독점적인
4. 사유의, 전유의 / [n] 소유자 owner, 소유권"
proscription,"금지, 추방, 인권 박탈 ; 금지[추방]상태"
protean,"변화무쌍한
=versatile(다용도의, 다목적의)"
protest,"항의, 반대하다, 이의제기하다"
prototypical,"원형의, 모범의."
protract,"(기간) 연장하다; (몸) (앞으로) 쭉 뻗다 
prolong, lengthen, extend"
provincial,"1.지방의, 촌스러운, 세련되지 못한
2.**편협한*=insular(섬의/편협한)"
provocative,"도발적인, 화를 돋우려는"
proxy,"대리(권); [C]위임장; 대리 투표; 대리인
-vote by proxy (대리로 투표-)"
prudent,"신중한; 현명한; 검소한 
circumspect*; provident, frugal(검소한)"
pseudonym,"(작가) 필명, 가명 
pseudo 가짜"
puerile,"유치한 lack of maturity
= adolescent, jejune, juvenile, immature"
pull no punches,"힘껏 때리다; 사정을 두지 않다
-He pulled no punches in the game"
punctuality,"시간 엄수
=promptness"
pungent,"1 신랄한, 날카로운
2. (맛) 톡쏘는"
purport,"(사실이 아닐 수도 있는 것을) 주장하다[칭하다]
*purported ~라고 알려진, 주장되는"
purveyor,조달[공급] 업자[회사]
purview,"범위, 영역; 권한"
pushover,"1. 식은 죽 먹기, 아주 쉬운[간단한] 일
2. 호락호락한[만만한] 사람
- I don't think she'll agree—she's no pushover."
quibble,"n.(사소한, 작은) 반대, 트집잡기 v.트집잡다"
quiescence,"quiescence 정지, 활동하지 않는 상태"
quip,"[명사] 재담(才談) , [동사] 재담을 하다"
rampant,"1. (나쁜것) 만연하는, 횡행하는, 제어할 수가 없는 flourishing
2. (사람, 행동) 사나운, 미쳐 날뛰는 
*rampant with (-) ex) rampant McCarthism"
ramshackle,"(집 등) 쓰러져가는, 상태가 매우 안좋은
rickety (곧 무너질 것 같은)"
rant,"(흥분하여, 허세부리며) 고함치다, 부르짖다, 폭언하다
yell, vociferate"
rapacious,"탐욕스런, 약탈하는 
greedy, avaricious"
rapacity,"강탈, 약탈; 탐욕"
realism,"현실주의; 사실성 
=verisimilitude(그럴듯함, 신빙성)"
realize,"1. 깨닫다, 알아차리다, 인식[자각]하다
2. (목표 등을) 실현[달성]하다=achieve"
rebellious,"반역하는, 모반하는, 반역자의; 반체제의; 반항적인, 순종치 않는"
rebound,"1. (공) 다시 튀어오르다 
2. (남을 노리고 한 행동의 나쁜 결과가 자기에게로) 되돌아오다 
3. (가격이) 반등하다"
recalibrate,"재측정 
<calibrate 눈금을매기다, 측정하다"
recapitulate,"요약하다 (<다시 머리가 될 만한 내용만 따서)
=summarize"
recede,1. 물러나다 2. 감소하다
recession,"경기침체기, 쇠퇴 <recede"
reconnoiter,"정찰활동을 하다, 정보를 얻기 위하여 사전조사를 하다 ""샅샅이 조사하다"""
recrudescent,재발(재연)하는 =renewing
refract,(물・공기・유리 등이 빛을) 굴절시키다
refrain (from),"삼가다, *그만두다 to stop oneself from doing something 
<주의> restrain 제한하다, 막다"
refuge,"피난(처), 피신(처), 도피(처)"
refutative,"반박[반론, 논박]하는; 반증의"
rehash,"거의 그대로 반복하다, 재탕을 내놓다 =recycle"
reified,"구체화된 
<reify (개념등을) 구체화하다, 구체화하여생각하다"
reify,"(개념등을) 구체화하다, 구체화하여생각하다 
=regard as concrete"
reinforce,강화시키다
reiterate,"되풀이하다, 반복하다 repeat"
relatives,친척 =kinfolk
relegated,"강등된, 좌천된// 
*relegate (-) 강등시키다, 내쫓다 =demote(<>promote)"
relish,"재미, 흥미, 즐기다, 좋아하다 =delight in"
reluctant,내키지않는 unwilling
remedial,"1. 교정, 개선하기 위한 2. (교육) 보충하는 - remedial class 보충수업"
remiss,"태만한, 성의없는, 소홀한 negligent"
remonstrate,"항의하다, 이의를 제출하다 
argue against, protest"
remove,"치우다, 내보내다; 벗다 =strip away(벗겨내다, 제거하다)"
remuneration,보수 payment
replete,"(with) 충분한, 가득한 =filled with"
reproach*,비난하다
repudiate,"부인하다, 거절하다 (""취소하다 철회하다"")
reject, renounce, abandon, refuse, recant*"
repugnance,"(-) 혐오함, 증오 
a.repugnant"
repugnant,"(-) 혐오스러운, 역겨운, 불쾌한"
rescind,"철회하다, 폐지하다, 취소하다 
revoke, recant, repeal, renounce, renege on, retract, retreat"
resemble,"닮다, 비슷[유사]하다"
resent,"분개하다, 분하게 여기다, 억울하게 여기다"
resign to,"(일, 재산등을) 물려주다, 양도하다; 복종하다, 따르다
=cede to: (마지못해) 양도하다, 이양하다"
resonate,"(소리가) 울려퍼지다, 공명이 잘 되다 
>resonant : 낭랑하게 울리는, 공명하는"
resourcefulness,지모[계략]가 풍부함; 자원이 많음.
respite,짧은 휴식 recess
responsive,"응답하는, 반응하는; 공명하는, 공명하기 쉬운, 민감한(sensitive)[to];"
restorative,원기를 회복시키는 =tonic
restrained,"삼가는, 자제하는; 억제된, 억눌린, 구속된"
resurgence,"소생, 부활 =revival, reviving"
resurgent,"소생하는, 부활하는, 재기하는, 다시 유행하는
recrudescent (재발, 재연하는)"
reveal,"드러내다, 밝히다, 폭로하다 
= manifest (나타내다, 드러내보이다)"
reverent,"숭배하는, 공경하는."
revert to,"되돌아 가다 return
're' + 'vert' turn"
ring out,"크게 울리다, 들리다 =sound loudly"
risible,"비웃음을 살 만한, 우스꽝스러운"
riveting,engrossing
