term,definition,ipa,synonyms,antonyms
endow,"""  v. give or bequeath an income or property to (a person or institution). """"he endowed the church with lands""""   v. establish (a college post, annual prize, or project) by donating the funds needed to maintain it.    v. provide with a quality, ability, or asset. """"he was endowed with tremendous physical strength"""" """"nature endowed the human race with intelligence""""""",inˈdou,"finance, fund, pay for, donate money for, give money toward, provide capital for, subsidize, support financially, provide, supply, furnish, equip, invest, give, present, favor, bless, grace, award, gift, confer, bestow, enrich, arm",
court,""" v. be involved with romantically, typically with the intention of marrying. """"he was courting a girl from the neighboring farm""""    v. pay special attention to (someone) in an attempt to win their support or favor. """"Western politicians courted the leaders of the newly independent states"""" """,kôrt,"go out with, pursue, run after, chase, curry favor with, cultivate, try to win over, make up to, ingratiate oneself with",
fierce,""" adj. having or displaying an intense or ferocious aggressiveness. """"the fierce air battles that ensued over the Pacific"""" """,firs,"ferocious, savage, vicious, aggressive antonyms: gentle, mild","gentle, mild"
olfactory,""" adj. relating to the sense of smell. """"the olfactory organs""""""",ōlˈfakt(ə)rē,,
ensue,""" v. happen or occur afterward or as a result. """"the difficulties that ensued from their commitment to Cuba"""" """,inˈso͞o,"result, follow, develop, proceed, succeed, emerge, stem, arise, derive, issue",
brigand,n. a member of a gang that ambushes and robs people in forests and mountains.,ˈbriɡənd,,
indignant,""" adj. feeling or showing anger or annoyance at what is perceived as unfair treatment. """"he was indignant at being the object of suspicion"""" """,inˈdiɡnənt,"aggrieved, resentful, affronted, disgruntled, displeased, cross, angry, mad, annoyed, offended, exasperated, irritated, piqued, nettled, in high dudgeon, chagrined",
swerve,""" v. change or cause to change direction abruptly. """"a car swerved around a corner"""" """"a car swerved into her path""""""",swərv,"veer, deviate, skew, diverge, sheer, weave, zigzag, change direction; tack",
sanctimonious,""" adj. making a show of being morally superior to other people. """"what happened to all the sanctimonious talk about putting his family first?"""" """"no one wants to hear your sanctimonious hot air""""""",ˌsaNG(k)təˈmōnēəs,"self-righteous, holier-than-thou, pious, pietistic, churchy, moralizing, preachy, smug, superior, priggish, hypocritical, insincere",
holier-than-thou,""" adj. characterized by an attitude of moral superiority. """"they had quite a critical, holier-than-thou approach"""" """,ˌhōlēərT͟HənˈT͟Hou,"sanctimonious, self-righteous, smug, self-satisfied",
sanctity,""" n. the state or quality of being holy, sacred, or saintly. """"the site of the tomb was a place of sanctity for the ancient Egyptians"""" """"the sanctity of St. Francis""""""",ˈsaNG(k)tədē,"holiness, godliness, blessedness, saintliness, spirituality, piety, piousness, devoutness, righteousness, goodness, virtue, purity",
stolid,"adj. (of a person) calm, dependable, and showing little emotion or animation. synonyms: impassive, phlegmatic, unemotional, cool, calm, placid, unexcitable",ˈstäləd,,
unconscionable,""" adj. not right or reasonable. """"the unconscionable conduct of his son"""" """,ˌənˈkänSH(ə)nəbəl,"unethical, amoral, immoral, unprincipled, indefensible, unforgivable, wrong",
charlatan,"n. a person falsely claiming to have a special knowledge or skill; a fraud. synonyms: quack, sham, fraud, fake, impostor, hoaxer, cheat, deceiver, double-dealer, swindler, fraudster, mountebank",ˈSHärlədən,,
agglomeration,""" n. a mass or collection of things; an assemblage. """"the arts center is an agglomeration of theaters, galleries, shops, restaurants, and bars""""""",əˌɡläməˈrāSH(ə)n,,
interloper,"n. a person who becomes involved in a place or situation where they are not wanted or are considered not to belong. synonyms: intruder, encroacher, trespasser, invader, infiltrator",ˈin(t)ərˌlōpər,,
masquerade,""" n. a false show or pretense. """"his masquerade ended when he was arrested"""" """"he couldn't keep up the masquerade much longer""""   v. pretend to be someone one is not. """"a journalist masquerading as a man in distress"""" """"a woman masquerading as a man""""""",ˌmaskəˈrād,"pretense, deception, pose, act, front, facade, disguise, dissimulation, bluff, play-acting, make-believe, pretend to be, pose as, pass oneself off as, impersonate, disguise oneself as",
complication,""" n. a circumstance that complicates something; a difficulty. """"there is a complication concerning ownership of the site"""" """,ˌkämpləˈkāSH(ə)n,"difficulty, problem, obstacle, hurdle, stumbling block",
dredge,""" v. clean out the bed of (a harbor, river, or other area of water) by scooping out mud, weeds, and rubbish with a dredge.   v. bring to people's attention an unpleasant or embarrassing fact or incident that had been forgotten. """"I don't understand why you had to dredge up this story""""""",drej,,
ferret,""" v. look around in a place or container in search of something. """"he went to the desk and ferreted around"""" """,ˈferət,"rummage, feel around, grope around, forage around, fish aroundabout",
mountebank,"n. a person who deceives others, especially in order to trick them out of their money; a charlatan. synonyms: swindler, charlatan, confidence trickster, fraud, fraudster, impostor, trickster, hoaxer",ˈmoun(t)əˌbaNGk,,
harlequin,""" n. a mute character in traditional pantomime, typically masked and dressed in a diamond-patterned costume. """"the gaily garbed harlequins of his court""""   adj. in varied colors; variegated. """"a harlequin pattern""""""",ˈhärləkwən,"jester, joker, merry andrew, multicolored, many-colored, colorful, parti-colored, varicolored, many-hued, rainbow, variegated, jazzy, kaleidoscopic, psychedelic, polychromatic, checkered",
bamboozle,""" v. fool or cheat (someone). """"Tom Sawyer bamboozled the neighborhood boys into doing it for him""""   v. confound or perplex. """"bamboozled by the number of savings plans being offered""""""",bamˈbo͞ozəl,,
hoodwink,""" v. deceive or trick (someone). """"an attempt to hoodwink the public"""" """,ˈho͝odˌwiNGk,"deceive, trick, dupe, outwit, fool, delude, inveigle, cheat, take in, hoax, mislead, lead on, defraud, double-cross, swindle, gull, scam",
ablaze,""" adj. burning fiercely. """"his clothes were ablaze"""" """,əˈblāz,"on fire, alight, aflame, in flames, flaming, burning, fiery, blazing",
brusque,""" adj. abrupt or offhand in speech or manner. """"she could be brusque and impatient"""" """,brəsk,"curt, abrupt, blunt, short, sharp, terse, peremptory, gruff",
bluntly,""" adv. in an uncompromisingly forthright way. """"a colleague bluntly told him that he had no business asking for the status report""""""",ˈbləntlē,,
wax,""" v. (of the moon between new and full) have a progressively larger part of its visible surface illuminated, increasing its apparent size. """"the moon is waxing""""    v. begin to speak or write about something in the specified manner. """"they waxed lyrical about the old days""""""",waks,"get bigger, increase, enlarge",wane
glum,""" adj. looking or feeling dejected; morose. """"they looked glum but later cheered up"""" """,ɡləm,"gloomy, downcast, downhearted, dejected, despondent, crestfallen, disheartened",
tawdry,""" adj. showy but cheap and of poor quality. """"tawdry jewelry"""" """,ˈtôdrē,"gaudy, flashy, showy, garish, loud",
rile,""" v. make (someone) annoyed or irritated. """"it was his air of knowing all the answers that riled her""""""",rīl,,
canteen,""" n. a restaurant provided by an organization such as a military camp, college, factory, or company for its soldiers, students, staff, etc. """"the staff canteen""""""",kanˈtēn,"restaurant, cafeteria, refectory, lunchroom, mess hall",
tact,""" n. adroitness and sensitivity in dealing with others or with difficult issues. """"the inspector broke the news to me with tact and consideration"""" """"Dr. Porter has a lot to learn about timing and tact""""""",takt,"diplomacy, tactfulness, sensitivity, understanding, thoughtfulness, consideration, delicacy, discretion, prudence, judiciousness, subtlety, savoir faire",
humongous,""" adj. huge; enormous. """"a humongous steak""""""",hyo͞oˈməNGɡəs,,
eke,""" v. manage to support oneself or make a living with difficulty. """"they eked out their livelihoods from the soil""""   v. make an amount or supply of something last longer by using or consuming it frugally. """"the remains of yesterday's stew could be eked out to make another meal"""" """"I had to eke out my remaining funds""""""",ēk,"husband, use sparingly, be thrifty with, be frugal with, be sparing with, use economically",
scrape,""" v. push or pull a hard or sharp implement across (a surface or object) so as to remove dirt or other matter. """"rinse off the carrots and scrape them"""" """"she scraped her hair back behind her ears""""   v. rub or cause to rub by accident against a rough or hard surface, causing damage or injury. """"he smashed into the wall and felt his knee scrape against the plaster"""" """"Ellen had scraped her shins on the wall""""""",skrāp,"rake, drag, pull, tug, draw, graze, scratch, abrade, scuff, rasp, skin, rub raw, cut, lacerate, bark, chafe; excoriate",
inkling,""" n. a slight knowledge or suspicion; a hint. """"the records give us an inkling of how people saw the world"""" """,ˈiNGkliNG,"idea, notion, sense, impression, conception, suggestion, indication, whisper, glimmer",
foolhardy,""" adj. recklessly bold or rash. """"it would be foolhardy to go into the scheme without support"""" """"their foolhardy plans""""""",ˈfo͞olˌhärdē,"reckless, rash, irresponsible, impulsive, hotheaded, impetuous, bullheaded, daredevil, devil-may-care, madcap, harebrained, precipitate, hasty, overhasty",
illicit,""" adj. forbidden by law, rules, or custom. """"illicit drugs"""" """,i(l)ˈlisit,"illegal, unlawful, illegitimate, criminal, felonious",
stipend,n. a fixed regular sum paid as a salary or allowance.,ˈstīˌpend,,
buck,""" v. oppose or resist (something that seems oppressive or inevitable). """"the shares bucked the market trend"""" """"it takes guts to buck the system""""""",bək,"resist, oppose, defy, fight, kick against",
downturn,""" n. a decline in economic, business, or other activity. """"a downturn in the housing market""""   v. turn (something) downward. """"his downturned mouth""""""",ˈdounˌtərn,,
acme,""" n. the point at which someone or something is best, perfect, or most successful. """"physics is the acme of scientific knowledge"""" """,ˈakmē,"peak, pinnacle, zenith, height, high point, crown, crest, summit, top, apex, apogee",
err,""" v. be mistaken or incorrect; make a mistake. """"the judge had erred in ruling that the evidence was inadmissible""""    v. sin; do wrong. """"the erring brother who had wrecked his life""""""",er,"make a mistake, be wrong, be in error, be mistaken, blunder, fumble, be incorrect, miscalculate, get it wrong",
brittle,""" adj. hard but liable to break or shatter easily. """"her bones became fragile and brittle"""" """,ˈbridl,"breakable, fragile, delicate",
besmirch,""" v. damage the reputation of (someone or something) in the opinion of others. """"he had besmirched the good name of his family"""" """,bəˈsmərCH,"sully, tarnish, blacken, drag through the mud/mire, stain, taint, smear, disgrace, dishonor, bring discredit to, damage, debase, ruin",
besiege,""" v. surround (a place) with armed forces in order to capture it or force its surrender; lay siege to. """"the guerrillas continued to besiege other major cities to the north"""" """"the Romans besieged Carthage""""   v. crowd around oppressively; surround and harass. """"she spent the whole day besieged by newsmen"""" """,bəˈsēj,"lay siege to, beleaguer, blockade, surround, surround, mob, crowd around, swarm around, throng around, encircle",
plunder,""" v. steal goods from (a place or person), typically using force and in a time of war or civil disorder. """"looters moved into the disaster area to plunder stores"""" """"they plundered the countryside""""   n. the violent and dishonest acquisition of property. """"the farmers suffered the inhumanity and indignities of pillage and plunder"""" """"the plunder of the villages""""""",ˈpləndər,"pillage, loot, rob, raid, ransack, despoil, strip, ravage, lay waste, devastate, sack, rape, looting, pillaging, plundering, raiding, ransacking, devastation, sacking",
adamant,""" adj. refusing to be persuaded or to change one's mind. """"he is adamant that he is not going to resign"""" """,ˈadəmənt,"unshakable, immovable, inflexible, unwavering, unswerving, uncompromising, insistent, resolute, resolved, determined, firm, steadfast",
acquiescence,""" n. the reluctant acceptance of something without protest. """"in silent acquiescence, she rose to her feet"""" """,ˌakwēˈesəns,"accept, consent to, agree to, allow, concede, assent to, concur with, give the nod to",
verisimilitude,""" n. the appearance of being true or real. """"the detail gives the novel some verisimilitude"""" """"the verisimilitude of her performance is gripping""""""",ˌvərəsəˈmiləˌt(y)o͞od,"realism, believability, plausibility, authenticity, credibility, lifelikeness",
vainglorious,""" adj. excessively proud of oneself or one's achievements; overly vain. """"this vainglorious boast of personal infallibility""""""",ˌvānˈɡlôrēəs,,
unassuming,""" adj. not pretentious or arrogant; modest. """"he was an unassuming and kindly man"""" """,ˌənəˈso͞omiNG,"modest, self-effacing, humble, meek, bashful, reserved, diffident",
tumult,""" n. a loud, confused noise, especially one caused by a large mass of people. """"a tumult of shouting and screaming broke out"""" """"she added her voice to the tumult""""   n. confusion or disorder. """"the whole neighborhood was in a state of fear and tumult"""" """"years of political tumult""""""",ˈt(y)o͞oˌməlt,"clamor, din, noise, racket, uproar, hue and cry, commotion, ruckus, maelstrom, rumpus, hubbub, pandemonium, babel, bedlam, brouhaha, furor, fracas, melee, frenzy, turmoil, confusion, disorder, disarray, unrest, chaos, turbulence, mayhem, maelstrom, havoc, upheaval, ferment, agitation, trouble",
supercilious,""" adj. behaving or looking as though one thinks one is superior to others. """"a supercilious lady's maid"""" """,ˌso͞opərˈsilēəs,"arrogant, haughty, conceited, disdainful, overbearing, pompous, condescending, superior, patronizing, imperious, proud, snobbish, snobby, smug, scornful, sneering",
stark,""" adj. severe or bare in appearance or outline. """"the ridge formed a stark silhouette against the sky"""" """,stärk,"sharp, sharply defined, well focused, crisp, distinct, obvious, evident, clear, clear-cut, graphic, striking",
scintillate,v. emit flashes of light; sparkle.,ˈsin(t)lˌāt,,
redeem,"""  v. compensate for the faults or bad aspects of (something). """"a disappointing debate redeemed only by an outstanding speech""""    v. gain or regain possession of (something) in exchange for payment. """"his best suit had been redeemed from the pawnbrokers"""" """"Billy redeemed his drums from the pawnbrokers""""""",rəˈdēm,"save, compensate for the defects of, vindicate, retrieve, regain, recover, get back, reclaim, repossess; buy back",
proxy,""" n. the authority to represent someone else, especially in voting. """"they may register to vote by proxy"""" """"I am here to vote as Mrs. Carlson's proxy""""""",ˈpräksē,"deputy, representative, substitute, delegate, agent, surrogate, stand-in, attorney, go-between",
compendious,""" adj. containing or presenting the essential facts of something in a comprehensive but concise way. """"a compendious study"""" """"a compendious essay on Italian music""""""",kəmˈpendēəs,"succinct, pithy, short and to the point, short and sweet, potted, thumbnail, brief, crisp, compact, concise, condensed, shortened, contracted, compressed, abridged, abbreviated, summarized, summary, abstracted",
parley,""" n. a conference between opposing sides in a dispute, especially a discussion of terms for an armistice.    v. hold a conference with the opposing side to discuss terms. """"they disagreed over whether to parley with the enemy"""" """"the two parties were willing to parley""""""",ˈpärlē,"negotiation, talk(s), conference, summit, discussion, powwow, discuss terms, talk, hold talks, negotiate, deliberate",
obliterate,""" v. destroy utterly; wipe out. """"the memory was so painful that he obliterated it from his mind""""    v. cause to become invisible or indistinct; blot out. """"clouds were darkening, obliterating the sun"""" """,əˈblidəˌrāt,"destroy, wipe out, annihilate, demolish, eliminate, decimate, liquidate, wipe off the face of the earth, wipe off the map, erase, eradicate, expunge, efface, wipe out, blot out, rub out, block out, remove all traces of",
nettle,""" v. irritate or annoy (someone). """"I was nettled by Alene's tone of superiority"""" """,ˈnedl,"irritate, annoy, irk, gall, vex, anger, exasperate, infuriate, provoke",
nefarious,""" adj. (typically of an action or activity) wicked or criminal. """"the nefarious activities of the organized-crime syndicates"""" """,nəˈferēəs,"wicked, evil, sinful, iniquitous, egregious, heinous, atrocious, vile, foul, abominable, odious, depraved, monstrous, fiendish, diabolical, unspeakable, despicable",
mortify,""" v. cause (someone) to feel embarrassed, ashamed, or humiliated. """"she was mortified to see her wrinkles in the mirror"""" """"I'd be mortified if my friends found out""""   v. subdue (the body or its needs and desires) by self-denial or discipline. """"return to heaven by mortifying the flesh"""" """,ˈmôrdəˌfī,"embarrass, humiliate, chagrin, discomfit, shame, abash, horrify, appall, subdue, suppress, subjugate, control",
moribund,""" adj. (of a person) at the point of death. """"the patient was moribund""""""",ˈmôrəˌbənd,"dying, expiring, terminal, on one's deathbed, near death, at death's door, not long for this world",
monolithic,""" adj. (of an organization or system) large, powerful, and intractably indivisible and uniform. """"rejecting any move toward a monolithic European superstate"""" """"a monolithic organization""""""",ˌmänəˈliTHik,"inflexible, rigid, unbending, unchanging, fossilized",
minuscule,""" adj. extremely small; tiny. """"a minuscule fragment of DNA"""" """,ˈminəˌskyo͞ol,"tiny, minute, microscopic, nanoscale, very small, little, micro, diminutive, miniature, baby, dwarf, Lilliputian",
malpractice,""" n. improper, illegal, or negligent professional activity or treatment, especially by a medical practitioner, lawyer, or public official. """"victims of medical malpractice"""" """,malˈpraktəs,"wrongdoing, (professional) misconduct, breach of ethics, unprofessionalism, unethical behavior",
malinger,"v. exaggerate or feign illness in order to escape duty or work. synonyms: pretend to be ill, feign (an) illness, fake (an) illness",məˈliNGɡər,,
wheedle,""" v. employ endearments or flattery to persuade someone to do something or give one something. """"you can contrive to wheedle your way onto a court"""" """,ˈ(h)wēdl,"coax, cajole, inveigle, induce, entice, charm, tempt, beguile, blandish, flatter, persuade, influence, win someone over, bring someone around, convince, prevail on, get around",
cajole,""" v. persuade someone to do something by sustained coaxing or flattery. """"he hoped to cajole her into selling the house"""" """"I hate it when he cajoles me to go out with his friends""""""",kəˈjōl,"persuade, wheedle, coax, talk into, prevail on, sweet-talk, butter up, soft-soap, seduce, inveigle",
intimate,""" adj. closely acquainted; familiar, close. """"intimate friends"""" """"an intimate friend of Picasso's""""   adj. private and personal. """"going into intimate details of his sexual encounters"""" """,ˈin(t)əmət,"close, bosom, dear, cherished, faithful, devoted, fast, firm, familiar, personal, private, confidential, secret",
cognate,""" adj. related; connected. """"cognate subjects such as physics and chemistry"""" """,ˈkäɡˌnāt,"associated, related, connected, allied, linked",
indubitable,""" adj. impossible to doubt; unquestionable. """"an indubitable truth"""" """,inˈd(y)o͞obədəb(ə)l,"unquestionable, undoubtable, indisputable, unarguable, undebatable, incontestable, undeniable, irrefutable, incontrovertible, unmistakable, unequivocal, certain, sure, positive, definite, absolute, conclusive, watertight, ironclad",
incense,""" v. make (someone) very angry. """"she was incensed by the accusations""""""",inˈsens,,
repulse,""" v. drive back (an attack or attacking enemy) by force. """"rioters tried to storm ministry buildings but were repulsed by police""""    v. cause (someone) to feel intense distaste and aversion. """"audiences at early screenings of the film were repulsed by its brutality"""" """,rəˈpəls,"repel, drive backoff, put to flight, force back, beat off/back, revolt, disgust, repel, sicken, nauseate, turn someone's stomach, be repugnant to",
expulsion,""" n. the action of depriving someone of membership in an organization. """"expulsion from school"""" """"expulsion from the party""""""",ikˈspəlSHən,"removal, debarment, dismissal, exclusion, discharge, ejection, drumming out",
compulsion,""" n. the action or state of forcing or being forced to do something; constraint. """"the payment was made under compulsion"""" """"he is under no compulsion to go""""   n. an irresistible urge to behave in a certain way, especially against one's conscious wishes. """"he felt a compulsion to babble on about what had happened"""" """,kəmˈpəlSHən,"obligation, constraint, coercion, duress, pressure, intimidation, urge, impulse, need, desire, drive",
histrionic,""" adj. overly theatrical or melodramatic in character or style. """"a histrionic outburst"""" """,ˌhistrēˈänik,"melodramatic, theatrical, dramatic, exaggerated, stagy, actorly, showy, affected, artificial, overacted, overdone",
hidebound,""" adj. unwilling or unable to change because of tradition or convention. """"you are hidebound by your petty laws"""" """,ˈhīdˌbound,"conservative, reactionary, conventional, orthodox",
somber,""" adj. dark or dull in color or tone; gloomy. """"the night skies were somber and starless""""    adj. oppressively solemn or sober in mood; grave. """"he looked at her with a somber expression"""" """,ˈsämbər,"dark, drab, dull, dingy, solemn, earnest, serious, grave, sober, unsmiling, stern, grim, dour, humorles",
pliable,""" adj. easily bent; flexible. """"quality leather is pliable and will not crack""""    adj. easily influenced. """"pliable teenage minds"""" """,ˈplīəb(ə)l,"flexible, pliant, bendable, elastic, supple, malleable, workable, plastic, springy, ductile, malleable, impressionable, flexible, adaptable, pliant, compliant, biddable, tractable, yielding, amenable, susceptible, suggestible, persuadable, manipulable, receptive",
attire,""" n. clothes, especially fine or formal ones. """"holiday attire""""    v. be dressed in clothes of a specified kind. """"Donna was attired in an elaborate evening gown"""" """,əˈtī(ə)r,"clothing, clothes, garments, dress, wear, outfits, garb, costume, dress, dress up, clothe, garb, robe, array, costume, swathe, deck, deck out, turn out, fit out, trick out",
smattering,""" n. a slight superficial knowledge of a language or subject. """"Edward had only a smattering of Spanish""""   n. a small amount of something. """"a smattering of snow"""" """,ˈsmadəriNG,"bit, modicum, touch, soupçon",
enmity,""" n. the state or feeling of being actively opposed or hostile to someone or something. """"enmity between Protestants and Catholics"""" """,ˈenmədē,"hostility, animosity, antagonism, friction, antipathy, animus, acrimony, bitterness, rancor, resentment, aversion, ill feeling, bad feeling, ill will, bad blood, hatred, hate, loathing, odium",
ingenuity,"n. the quality of being clever, original, and inventive. synonyms: inventiveness, creativity, imagination, innovation, enterprise, insight, perception, perceptiveness, intuition, inspiration",ˌinjəˈn(y)o͞oədē,,
enumerate,""" v. mention (a number of things) one by one. """"there is not space to enumerate all his works""""    v. establish the number of. """"the 2000 census enumerated 10,493 households in the county"""" """,əˈn(y)o͞oməˌrāt,"list, itemize, set out, give, calculate, compute, count, add up, tally, total, number, quantify",
fretful,""" adj. feeling or expressing distress or irritation. """"the baby was crying with a fretful whimper"""" """,ˈfretfəl,"distressed, upset, miserable, unsettled, uneasy, ill at ease, uncomfortable, edgy, agitated, worked up, tense, stressed, restive, fidgety, antsy",
erratic,""" adj. not even or regular in pattern or movement; unpredictable. """"her breathing was erratic"""" """,əˈradik,"unpredictable, inconsistent, changeable, variable, inconstant, irregular, fitful, unstable, turbulent, unsettled, changing, varying, fluctuating, mutable",
vicarious,""" adj. experienced in the imagination through the feelings or actions of another person. """"I could glean vicarious pleasure from the struggles of my imaginary film friends"""" """,vəˈkerēəs,"indirect, secondhand, secondary, derivative, derived, surrogate, substitute",
disproportionate,""" adj. too large or too small in comparison with something else. """"people on lower incomes spend a disproportionate amount of their income on fuel"""" """,ˌdisprəˈpôrSH(ə)nət,"out of proportion to, not appropriate to, inappropriate to, not commensurate with, incommensurate with, relatively too large/small for",
shudder,""" v. (of a person) tremble convulsively, typically as a result of fear or revulsion. """"I shuddered with horror"""" """"she shuddered at the thought""""""",ˈSHədər,"shake, shiver, tremble, quiver, vibrate, palpitate",
submerge,""" v. cause to be under water. """"houses had been flooded and cars submerged"""" """"the farmland was submerged""""   v. descend below the surface of an area of water. """"the U-boat had had time to submerge"""" """"the U-boat submerged""""   v. completely cover or obscure. """"the tensions submerged earlier in the campaign now came to the fore"""" """"submerge the bowl in water""""""",səbˈmərj,"flood, inundate, deluge, swamp, go under water, dive, sink, immerse, plunge, sink",
ingratiating,""" adj. intended to gain approval or favor; sycophantic. """"an ingratiating manner"""" """,inˈɡrāSHēˌādiNG,"sycophantic, toadying, fawning, unctuous, obsequious",
parish,""" n. (in the Christian Church) a small administrative district typically having its own church and a priest or pastor. """"a parish church"""" """"the story scandalized the parish""""""",ˈperiSH,"parishioners, churchgoers, congregation, fold, flock, community",
differentiate,""" v. recognize or ascertain what makes (someone or something) different. """"children can differentiate the past from the present""""""",ˌdifəˈren(t)SHēˌāt,,
quip,""" n. a witty remark.    v. make a witty remark. """"“Flattery will get you nowhere,” she quipped"""" """"“I think he got the point,” quipped Sean""""""",kwip,"joke, witty remark, witticism, jest, pun, bon mot, sally, pleasantry, joke, jest, pun, sally",
menial,""" adj. (of work) not requiring much skill and lacking prestige. """"menial factory jobs"""" """,ˈmēnēəl,"unskilled, lowly, humble, low-status, inferior, degrading",
embellish,""" v. make (something) more attractive by the addition of decorative details or features. """"blue silk embellished with golden embroidery""""    v. make (a statement or story) more interesting or entertaining by adding extra details, especially ones that are not true. """"she had real difficulty telling the truth because she liked to embellish things"""" """"the legend was embellished in later retellings""""""",əmˈbeliSH,"decorate, adorn, ornament, elaborate, embroider, expand on, exaggerate",
resignation,""" n. an act of retiring or giving up a position. """"he announced his resignation""""    n. the acceptance of something undesirable but inevitable. """"a shrug of resignation"""" """"he accepted his fate with resignation""""""",ˌrezəɡˈnāSH(ə)n,"departure, leaving, standing down, stepping down, patience, forbearance, stoicism, fortitude, fatalism, acceptance, acquiescence, compliance, passivity",
agitate,""" v. make (someone) troubled or nervous. """"the thought of questioning Toby agitated him extremely""""    v. stir or disturb (something, especially a liquid) briskly. """"agitate the water to disperse the oil"""" """"agitate the water to disperse the oil""""""",ˈajəˌtāt,"upset, perturb, fluster, ruffle, disconcert, unnerve, disquiet, disturb, distress, unsettle, unhinge, stir, whisk, churn, beat",
forlorn,""" adj. pitifully sad and abandoned or lonely. """"forlorn figures at bus stops""""    adj. (of an aim or endeavor) unlikely to succeed or be fulfilled; hopeless. """"a forlorn attempt to escape"""" """,fərˈlôrn,"unhappy, sad, miserable, sorrowful, dejected, despondent, disconsolate, wretched, abject, down, downcast, dispirited, downhearted, crestfallen, depressed, melancholy, gloomy, glum, mournful, despairing, doleful, woebegone, hopeless, vain, with no chance of success",
guffaw,""" v. laugh in a loud or boisterous way. """"both men guffawed at the remark"""" """"he guffawed at his own punch line""""""",ɡəˈfô,"laugh heartily, laugh loudly, roar with laughter, roar, bellow, cackle",
pundit,""" n. an expert in a particular subject or field who is frequently called on to give opinions about it to the public. """"a globe-trotting financial pundit"""" """,ˈpəndət,"expert, authority, specialist, doyen(ne), master, guru, sage, savant, maven",
flounder,""" v. struggle or stagger helplessly or clumsily in water or mud. """"he was floundering about in the shallow offshore waters"""" """"people were floundering in the water""""   v. struggle mentally; show or feel great confusion. """"she floundered, not knowing quite what to say"""" """,ˈfloundər,"struggle, thrash, flail, twist and turn, splash, stagger, stumble, reel, lurch, blunder, squirm, writhe, struggle, be out of one's depth, have difficulty, be confounded, be confused",
inarticulate,""" adj. unable to speak distinctly or express oneself clearly. """"he was inarticulate with abashment and regret"""" """"an inarticulate young man""""""",ˌinärˈtikyələt,"tongue-tied, lost for words, unable to express oneself",
malodorous,"adj. smelling very unpleasant. synonyms: foul-smelling, evil-smelling, fetid, smelly, stinking (to high heaven), reeking, rank, high, putrid, noxious",malˈōdərəs,,
commendable,""" adj. deserving praise. """"commendable restraint"""" """"he tackled the tests with commendable zeal""""""",kəˈmendəb(ə)l,"admirable, praiseworthy, creditable, laudable, estimable, meritorious, exemplary, noteworthy, honorable, respectable, fine, excellent",
insolvent,""" adj. unable to pay debts owed. """"the company became insolvent"""" """,inˈsälvənt,"bankrupt, ruined, wiped out, in receivership",
inadvertent,""" adj. not resulting from or achieved through deliberate planning. """"an inadvertent administrative error occurred that resulted in an overpayment"""" """,ˌinədˈvərtnt,"unintentional, unintended, accidental, unpremeditated, unplanned, innocent, uncalculated, unconscious, unthinking, unwitting, involuntary",
resolve,""" v. settle or find a solution to (a problem, dispute, or contentious matter). """"the firm aims to resolve problems within 30 days""""    v. decide firmly on a course of action. """"she resolved to call Dana as soon as she got home"""" """"Bob resolved not to wait any longer""""""",rəˈzälv,"settle, sort out, solve, find a solution to, fix, straighten out, deal with, put right, put to rights, rectify, determine, decide, make up one's mind, make a decision",
fleck,""" n. a very small patch of color or light. """"his blue eyes had gray flecks in them""""    v. mark or dot with small patches of color or particles of something. """"the minarets are flecked with gold leaf"""" """"the deer's flanks were flecked with white""""""",flek,"spot, mark, dot, speck, speckle, freckle, patch, smudge, streak, blotch, dab, spot, mark, dot, speckle, bespeckle, freckle, stipple, stud, bestud, blotch, mottle, streak, splash, spatter, bespatter, scatter, sprinkle",
miscreant,""" n. a person who behaves badly or in a way that breaks the law. """"the South Street playground has been taken over by a pack of drug-dealing miscreants""""""",ˈmiskrēənt,"criminal, culprit, wrongdoer, malefactor, offender, villain, lawbreaker, evildoer, delinquent, hoodlum, reprobate; malfeasant",
plodding,""" adj. slow-moving and unexciting. """"a plodding comedy drama""""""",ˈplädiNG,,
fête,""" v. honor or entertain (someone) lavishly. """"she was an instant celebrity, fêted by the media""""""",fāt,,
grovel,""" v. lie or move abjectly on the ground with one's face downward. """"she was groveling on the floor in fear"""" """"George groveled at his feet, begging for mercy""""   v. act in an obsequious manner in order to obtain someone's forgiveness or favor. """"everyone expected me to grovel with gratitude"""" """,ˈɡrəvəl,"prostrate oneself, lie, kneel, cringe, be obsequious to, fawn on, kowtow to, bow and scrape to, toady to, truckle to, abase oneself to, humble oneself to",
hamstring,""" v. severely restrict the efficiency or effectiveness of. """"we were hamstrung by a total lack of knowledge""""""",ˈhamˌstriNG,,
carping,""" adj. difficult to please; critical. """"she has silenced the carping critics with a successful debut tour""""""",ˈkärpiNG,,
laborious,""" adj. (especially of a task, process, or journey) requiring considerable effort and time. """"years of laborious training"""" """,ləˈbôrēəs,"arduous, hard, heavy, difficult, strenuous, grueling, punishing, exacting, tough, onerous, burdensome, back-breaking, labor-intensive, trying, challenging",
tedious,""" adj. too long, slow, or dull: tiresome or monotonous. """"a tedious journey"""" """,ˈtēdēəs,"boring, dull, monotonous, repetitive, unrelieved, unvaried, uneventful",
